Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileTestSuite,,,2018-01-18 18:06:23,2018-01-18 18:08:03,1m - 39.332s,FAILED
,,,,,,
Test Cases/TC04,,,2018-01-18 18:06:24,2018-01-18 18:07:58,1m - 34.609s,FAILED
startApplication,,,2018-01-18 18:06:24,2018-01-18 18:07:30,1m - 5.051s,PASSED
tap,,,2018-01-18 18:07:30,2018-01-18 18:07:32,2.034s,PASSED
hideKeyboard,,,2018-01-18 18:07:32,2018-01-18 18:07:34,2.258s,PASSED
setText,,,2018-01-18 18:07:34,2018-01-18 18:07:41,7.165s,PASSED
tap,,,2018-01-18 18:07:41,2018-01-18 18:07:43,2.227s,PASSED
hideKeyboard,,,2018-01-18 18:07:43,2018-01-18 18:07:45,2.057s,PASSED
setText,,,2018-01-18 18:07:45,2018-01-18 18:07:55,9.746s,PASSED
tap,,,2018-01-18 18:07:55,2018-01-18 18:07:58,3.324s,PASSED
verifyMatch,,,2018-01-18 18:07:58,2018-01-18 18:07:58,0.072s,FAILED
